epochs,workers,mode,runs,handshake_mean_s,handshake_std_s,preprocess_mean_s,preprocess_std_s,training_mean_s,training_std_s,report_mean_s,report_std_s,avg_epoch_mean_s,avg_epoch_std_s,total_pipeline_mean_s,total_pipeline_std_s,baseline_like_total_mean_s,baseline_like_total_std_s
10,2,attested,5,0.16019999999999998,0.03505994865940337,0.3538,0.13313602067059088,5.9332,0.1850978119805851,0.032,0.0010000000000000009,0.593,0.018479718612576333,6.4792000000000005,0.17208050441581124,6.287,0.15513864766717506
10,2,baseline,5,0.0,0.0,0.2792,0.007886697661252124,2.4752,0.03505281729048311,0.0,0.0,0.2476,0.0035777087639996693,2.7544,0.03805653688921233,2.7544,0.03805653688921233
10,4,attested,5,0.1834,0.038003947163419774,0.30720000000000003,0.025907527863538032,5.835,0.2165513795846151,0.0332,0.0010954451150103337,0.5831999999999999,0.02184490787346104,6.3588000000000005,0.26333856534886796,6.142200000000001,0.2385680196505814
10,4,baseline,5,0.0,0.0,0.2976,0.01852835664596294,2.2108,0.14082329352773992,0.0,0.0,0.22119999999999998,0.014184498581197713,2.5084,0.15733181496442464,2.5084,0.15733181496442464
10,8,attested,5,0.24100000000000002,0.02836370920736567,0.2934,0.013164345787011226,7.188,0.25145874413111996,0.033,0.002345207879911714,0.7188,0.024953957601951664,7.7554,0.2753666646491543,7.481400000000001,0.25757193170064163
10,8,baseline,5,0.0,0.0,0.3056,0.013277801022759784,2.4072,0.047028714632658265,0.0,0.0,0.2408,0.005019960159204459,2.7128,0.04070872142428427,2.7128,0.04070872142428427
50,2,attested,5,0.176,0.020297783130184453,0.2854,0.01260158720161867,28.2776,0.40443825239460335,0.0328,0.0004472135954999582,0.5656,0.008173126696680997,28.771800000000002,0.3852229224747657,28.563,0.40046410575730607
50,2,baseline,5,0.0,0.0,0.2798,0.004604345773288528,12.0214,0.17447578628566235,0.0,0.0,0.24020000000000002,0.0034205262752974148,12.3012,0.17821952754959294,12.3012,0.17821952754959294
50,4,attested,5,0.2062,0.02714221803758859,0.289,0.011640446726822797,28.4432,0.165961441304901,0.0324,0.0008944271909999173,0.5688,0.0033466401061363017,28.970799999999997,0.1823532286525246,28.7322,0.17575608097587833
50,4,baseline,5,0.0,0.0,0.288,0.012083045973594544,10.6908,0.2473776465244997,0.0,0.0,0.2138,0.0049193495504995435,10.9788,0.24332632409996316,10.9788,0.24332632409996316
50,8,attested,5,0.2536,0.032245929975734916,0.2934,0.01835211159512715,35.5892,0.3538462943143524,0.033,0.0010000000000000015,0.7118,0.007190271204899052,36.169200000000004,0.37294664497753593,35.8826,0.36880658887823603
50,8,baseline,5,0.0,0.0,0.3074,0.011480418110852946,11.673599999999999,0.34333991903068806,0.0,0.0,0.23359999999999997,0.006985699678629177,11.981,0.34419616499897265,11.981,0.34419616499897265
100,2,attested,5,0.199,0.018124568960391867,0.2754,0.006841052550594829,56.37760000000001,0.47844623522398055,0.0332,0.003271085446759227,0.5638,0.004969909455915657,56.8852,0.49180961763674386,56.653,0.47187975163170665
100,2,baseline,5,0.0,0.0,0.2754,0.011674759098157019,22.812599999999996,0.16318486449422884,0.0,0.0,0.22820000000000001,0.0017888543819998333,23.088,0.17308379473538285,23.088,0.17308379473538285
100,4,attested,5,0.1984,0.028005356630473394,0.2848,0.010084641788382948,55.9808,0.2539039188354525,0.0328,0.001923538406167134,0.56,0.0023452078799116793,56.49679999999999,0.2612454784297746,56.26559999999999,0.24703805374880936
100,4,baseline,5,0.0,0.0,0.2866,0.015420765220960968,20.4476,0.6379896550885448,0.0,0.0,0.2048,0.006457553716385164,20.7342,0.6474184890779704,20.7342,0.6474184890779704
100,8,attested,5,0.27080000000000004,0.05489262245511687,0.3404,0.06619894258974234,74.3388,1.8317198748717005,0.0344,0.002509980079602227,0.7434000000000001,0.018460769214742948,74.9844,1.9100694489991739,74.6792,1.870931105091798
100,8,baseline,5,0.0,0.0,0.29900000000000004,0.018069310999592664,23.047800000000002,0.5468731114253111,0.0,0.0,0.2306,0.005412947441089739,23.3468,0.562383943583029,23.3468,0.562383943583029
